,2019q2,2018q4,2019q3,2019q1,2019q4
NetIncomeLoss,-289000000.0,,,1027000000.0,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,358000000.0,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,8801000000.0,,,9046000000.0,
CommonStockDividendsPerShareCashPaid,0.34,,,0.34,
StockRepurchasedDuringPeriodValue,,,,2000000000.0,
Adjustmentsrelatedtonewaccountingpronouncement,,,,0.0,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,-54000000.0,
Othercomprehensiveincomelosspensionandotherpostretirementbenefitplansnetunamortizedgainlossarisingduringperiodandreclassificationofnetgainlossrecognizedinnetperiodperiodicbenefitcostnetoftax,,,,-132000000.0,
Othercomprehensiveincomelosspensionandotherpostretirementbenefitplansnetpriorservicecreditcostarisingduringperiodandamortizationofnetpriorservicecostrecognizedinnetperiodicpensioncostnetoftax,,,,-4000000.0,
