,2019q2,2018q4,2019q3,2019q1,2019q4
AllowanceForDoubtfulAccountsReceivableCurrent,817000.0,817000.0,,817000.0,817000.0
CashAndCashEquivalentsAtCarryingValue,12757000.0,18629000.0,,12757000.0,21862000.0
TrademarksandpatentsaccumulatedAmortization,267000.0,267000.0,,267000.0,267000.0
ShortTermInvestments,7124000.0,2652000.0,,7124000.0,7124000.0
Customerlistaccumulatedamortization,6107000.0,5540000.0,,5918000.0,6444000.0
ReceivablesNetCurrent,33602000.0,33602000.0,,33602000.0,35459000.0
InventoryNet,26738000.0,22615000.0,,28123000.0,22521000.0
OtherPrepaidExpenseCurrent,4111000.0,4111000.0,,4111000.0,4708000.0
DeferredFinanceCostsNoncurrentNet,39000.0,89000.0,,46000.0,31000.0
PrepaidExpenseCurrent,2899000.0,2899000.0,,2899000.0,3084000.0
AssetsCurrent,86808000.0,94230000.0,,82300000.0,89276000.0
PropertyPlantAndEquipmentGross,244378000.0,236091000.0,,241425000.0,251370000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,157292000.0,149385000.0,,155232000.0,149385000.0
PropertyPlantAndEquipmentNet,87086000.0,86706000.0,,86193000.0,90798000.0
Goodwill,9262000.0,9262000.0,,9262000.0,9262000.0
Trademarksandpatentsnet,1356000.0,1220000.0,,1298000.0,1551000.0
Customerlistnet,1678000.0,3184000.0,,1867000.0,1488000.0
DeferredTaxAssetsNetNoncurrent,7349000.0,6902000.0,,7349000.0,7786000.0
OtherAssetsNoncurrent,5275000.0,4886000.0,,5204000.0,5084000.0
AssetsNoncurrent,24962000.0,34312000.0,,24962000.0,24962000.0
Assets,194682000.0,194682000.0,,194682000.0,194682000.0
SeniorNotesCurrent,3083000.0,3083000.0,,3083000.0,3083000.0
AccountsPayableAndAccruedLiabilitiesCurrent,8608000.0,6543000.0,,7882000.0,8092000.0
DividendsPayableCurrent,1689000.0,1553000.0,,1680000.0,1627000.0
EmployeeRelatedLiabilitiesCurrent,8974000.0,7917000.0,,8974000.0,6740000.0
AccruedMarketingCostsCurrent,864000.0,1280000.0,,1132000.0,1280000.0
AccruedLiabilitiesCurrent,1767000.0,4170000.0,,1767000.0,2635000.0
OtherLiabilitiesCurrent,6939000.0,8383000.0,,7492000.0,7675000.0
LiabilitiesCurrent,31501000.0,35717000.0,,31089000.0,32606000.0
SeniorLongTermNotes,3045000.0,3031000.0,,3038000.0,3052000.0
DeferredCompensationLiabilityClassifiedNoncurrent,6100000.0,11537000.0,,6100000.0,6014000.0
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,16756000.0,15906000.0,,16474000.0,23721000.0
OtherLiabilitiesNoncurrent,3735000.0,3725000.0,,3735000.0,4288000.0
LiabilitiesNoncurrent,31848000.0,31848000.0,,31848000.0,37075000.0
Liabilities,60963000.0,62797000.0,,60373000.0,69681000.0
AdditionalPaidInCapitalCommonStock,38473000.0,38473000.0,,38473000.0,42327000.0
RetainedEarningsAccumulatedDeficit,157862000.0,154735000.0,,158788000.0,158935000.0
MinorityInterest,-18000.0,-18000.0,,-18000.0,-18000.0
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,10384000.0,10384000.0,,10384000.0,14891000.0
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,-231000.0,-231000.0,,-231000.0,-231000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-10185000.0,-10292000.0,,-10360000.0,-15039000.0
TreasuryStockValue,55946000.0,55701000.0,,56480000.0,56543000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,126037000.0,115551000.0,,131885000.0,135546000.0
LiabilitiesAndStockholdersEquity,198478000.0,196951000.0,,193137000.0,205227000.0
AccountsReceivableNetCurrent,,32750000.0,,,35459000.0
CommonStockParOrStatedValuePerShare,,0.1,,,
BuildingsAndImprovementsGross,,37284000.0,,,38534000.0
MachineryAndEquipmentGross,,141530000.0,,,141530000.0
PropertyPlantAndEquipmentOther,,11089000.0,,,20569000.0
Vehicles,,13615000.0,,,15375000.0
Grossdepreciableassets,,205304000.0,,,205304000.0
Netdepreciableassets,,55919000.0,,,55919000.0
ConstructionInProgressGross,,13985000.0,,,13985000.0
Landmineralrightsandreclamationasset,,16640000.0,,,16802000.0
Trademarksandpatents,,1223000.0,,,1599000.0
AdditionalPaidInCapital,,38473000.0,,,41300000.0
DeferredFinanceCostsCurrentNet,,,,,24000.0
OperatingLeaseRightOfUseAsset,,,,,9222000.0
OperatingLeaseLiabilityCurrent,,,,,1603000.0
OperatingLeaseLiabilityNoncurrent,,,,,0.0
