,2019q2,2018q4,2019q3,2019q1,2019q4
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAdjustedBalance1,,,,2523594000.0,
MinorityInterestDecreaseFromRedemptions,,,,2624000.0,
StockRepurchasedDuringPeriodValue,,,,244429000.0,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,71983000.0,
MinorityInterestAcquisitionNoncontrolling,,,,45307000.0,
NoncontrollingInterestAcquisition,,,,5474000.0,
ProfitLoss,,,,80303000.0,
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,,,,754000.0,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,,22365000.0,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,,,,7331000.0,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,-786000.0,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,-106615000.0,
TreasuryStockValueAcquiredCostMethod,,,,60970000.0,
StockIssuedDuringPeriodValueShareBasedCompensation,,,,4412000.0,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,782000.0,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,40113000.0,
CommonStockSharesIssued,,,,230829000.0,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,2634970000.0,
