,2019q2,2018q4,2019q3,2019q1,2019q4
RevenueFromContractWithCustomerIncludingAssessedTax,225280000.0,,263973000.0,166483000.0,792628000.0
OperatingLeaseExpense,39273000.0,,44514000.0,,41022000.0
ProductionTaxExpense,12548000.0,37578000.0,16127000.0,19046000.0,45779000.0
DepreciationDepletionAndAmortization,75322000.0,217005000.0,80766000.0,299530000.0,80108000.0
GeneralAndAdministrativeExpense,27292000.0,16029000.0,18265000.0,74972000.0,58368000.0
GainLossOnDerivativeInstrumentsNetPretax,-83284000.0,-152698000.0,-62835000.0,159407000.0,31554000.0
InterestExpenseNet,15517000.0,15406000.0,18024000.0,80870000.0,15406000.0
GainsLossesOnExtinguishmentOfDebt,0.0,0.0,-8700000.0,8700000.0,0.0
OtherNonoperatingIncomeExpense,-100000.0,690000.0,-1592000.0,-2157000.0,-1125000.0
TotalCostsAndExpenses,197469000.0,221149000.0,228181000.0,656342000.0,646799000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-28032000.0,145829000.0,35792000.0,-675474000.0,196030000.0
IncomeTaxExpenseBenefit,-179395000.0,1682000.0,802000.0,0.0,-171119000.0
NetIncomeLoss,151363000.0,144147000.0,62801000.0,260280000.0,367149000.0
PreferredStockDividendsIncomeStatementImpact,4863000.0,13794000.0,8812000.0,7781000.0,4457000.0
PreferredStockAccretionOfRedemptionDiscount,801000.0,0.0,833000.0,0.0,771000.0
GainLossOnRedemptionOfPreferredStock,0.0,0.0,0.0,-7133000.0,0.0
NetIncomeLossAvailableToCommonStockholdersBasic,14743000.0,120956000.0,102200000.0,376076000.0,76118000.0
EarningsPerShareBasic,0.18,0.88,1.1,0.88,0.88
EarningsPerShareDiluted,1.58,0.07,1.1,0.36,0.85
WeightedAverageNumberOfSharesOutstandingBasic,91740000.0,81053000.0,81802000.0,59932000.0,92269000.0
WeightedAverageNumberOfDilutedSharesOutstanding,82578000.0,89039000.0,83853000.0,59932000.0,92625000.0
OilAndCondensateRevenue,,679242000.0,,,
NaturalGasLiquidsRevenue,,12467000.0,,,
NaturalGasProductionRevenue,,41417000.0,,,
OilAndGasSalesRevenue,,303375000.0,,,
LeaseOperatingExpense,,34874000.0,,,
AdValoremTaxes,,8201000.0,,7267000.0,
Revenues,,,,443594000.0,
CostOfServicesOilAndGas,,,,139854000.0,
ImpairmentOfOilAndGasProperties,,,,0.0,
OperatingIncomeLoss,,,,57953000.0,
