,2019q2,2018q4,2019q3,2019q1,2019q4
NetIncomeLoss,27492000.0,7823000.0,107485000.0,-675474000.0,81346000.0
DepreciationDepletionAndAmortization,75322000.0,217005000.0,136897000.0,299530000.0,238283000.0
GainLossOnDerivativeInstrumentsNetPretax,-83284000.0,-24377000.0,20449000.0,-67714000.0,-152698000.0
NetCashReceivedPaidForDerivativeSettlements,-2638000.0,-64710000.0,-38448000.0,119369000.0,-8939000.0
GainsLossesOnExtinguishmentOfDebt,0.0,-8676000.0,0.0,-4170000.0,0.0
ShareBasedCompensation,3518000.0,8462000.0,7969000.0,13524000.0,11692000.0
DeferredIncomeTaxExpenseBenefitExcludingExcessTaxBenefitFromStockBasedCompensation,193000.0,0.0,-177521000.0,3635000.0,1063000.0
AmortizationOfFinancingCostsAndDiscounts,603000.0,1878000.0,1271000.0,3657000.0,1950000.0
OtherNoncashIncomeExpense,2689000.0,-4249000.0,-2079000.0,-2337000.0,-3505000.0
IncreaseDecreaseInAccountsReceivable,4309000.0,12763000.0,7824000.0,12836000.0,12763000.0
IncreaseDecreaseInAccountsPayable,15526000.0,14748000.0,-6544000.0,-30130000.0,10863000.0
IncreaseDecreaseInAccruedLiabilities,-4317000.0,-9336000.0,12733000.0,-7938000.0,-9336000.0
IncreaseDecreaseInOtherOperatingCapitalNet,773000.0,2115000.0,1286000.0,2527000.0,2115000.0
NetCashProvidedByUsedInOperatingActivities,125103000.0,465292000.0,301796000.0,422981000.0,465292000.0
PaymentsToExploreAndDevelopOilAndGasProperties,234685000.0,433561000.0,362478000.0,480929000.0,662459000.0
CashReceivedForPostClosingAdjustmentsToAcquisitions,0.0,,0.0,,8222000.0
ProceedsFromSaleOfOilAndGasPropertyAndEquipment,342359000.0,15300000.0,345789000.0,15564000.0,6351000.0
PaymentsForProceedsFromOtherInvestingActivities,87000.0,2687000.0,1096000.0,6531000.0,284000.0
NetCashProvidedByUsedInInvestingActivities,-160593000.0,-1104959000.0,-348260000.0,-619832000.0,-543015000.0
EarlyRepaymentOfSeniorDebt,326010000.0,330435000.0,0.0,0.0,330435000.0
PaymentsForRepurchaseOfPreferredStockAndPreferenceStock,0.0,50030000.0,0.0,50030000.0,50030000.0
ProceedsFromIssuanceOfLongTermDebt,694260000.0,2415208000.0,898890000.0,770291000.0,2415208000.0
RepaymentsOfBankDebt,563860000.0,1183275000.0,933156000.0,1788223000.0,1160399000.0
PaymentsOfDebtIssuanceCosts,150000.0,627000.0,627000.0,1330000.0,627000.0
PaymentsOfDividends,4863000.0,13794000.0,9337000.0,18161000.0,13794000.0
PaymentForContingentConsiderationLiabilityFinancingActivities,40000000.0,,0.0,,40000000.0
ProceedsFromPaymentsForOtherFinancingActivities,-358000.0,-909000.0,-638000.0,-1620000.0,-972000.0
NetCashProvidedByUsedInFinancingActivities,-250966000.0,825260000.0,-197367000.0,308340000.0,-163464000.0
CashAndCashEquivalentsPeriodIncreaseDecrease,-4655000.0,-7125000.0,-7441000.0,-38724000.0,-7125000.0
CashAndCashEquivalentsAtCarryingValue,9540000.0,4194000.0,2099000.0,2282000.0,9540000.0
PaymentsToAcquireOilAndGasProperty,,692006000.0,,153521000.0,21500000.0
DepositForAcquisitionOfOilAndGasProperties,,21500000.0,,,
DepositForSaleOfOilAndGasProperties,,6200000.0,,,
ProceedsFromIssuanceOfSeniorLongTermDebt,,250000000.0,,0.0,
ProceedsFromIssuanceOfCommonStock,,222378000.0,,213746000.0,213857000.0
ProceedsFromIssuanceOfPreferredStockPreferenceStockAndWarrants,,236404000.0,,0.0,
ImpairmentOfOilAndGasProperties,,,,0.0,
