,2019q2,2018q4,2019q3,2019q1,2019q4
CommonStockDividendsPerShareDeclared,0.26,0.75,0.53,1.31,0.82
NetIncomeLoss,49132000.0,36479000.0,82943000.0,116377000.0,132279000.0
OtherComprehensiveIncomeLossNetOfTax,33314000.0,12049000.0,-18303000.0,5754000.0,-27738000.0
DividendsCommonStockCash,19476000.0,72427000.0,23437000.0,84284000.0,26784000.0
StockIssuedDuringPeriodValueAcquisitions,250807000.0,46673000.0,87153000.0,46673000.0,250807000.0
StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,0.0,0.0,0.0,0.0,0.0
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,47000.0,1616000.0,904000.0,2514000.0,8071000.0
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,-25458000.0,,-25458000.0,,-25458000.0
CommonStockSharesOutstanding,84521692.0,84521093.0,84521692.0,78006956.0,84521692.0
StockholdersEquity,1550850000.0,1492612000.0,1687376000.0,1515854000.0,1953401000.0
