,2019q2,2018q4,2019q3,2019q1,2019q4
StockIssuedDuringPeriodSharesStockOptionsExercised,141692.0,,225301.0,,464564.0
StockIssuedDuringPeriodValueStockOptionsExercised,1389000.0,,4075000.0,8091000.0,17740000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,6299000.0,,6399000.0,17910000.0,11244000.0
ProfitLoss,44256000.0,,42282000.0,1854000.0,42282000.0
OtherComprehensiveIncomeLossNetOfTax,22079000.0,,-34097000.0,-92379000.0,-34097000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,936481000.0,,1051420000.0,729252000.0,1115164000.0
MinorityInterestDecreaseFromRedemptions,,,0.0,,5275000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,5337000.0,5337000.0,0.0
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,,,,-60587000.0,
StockIssuedDuringPeriodValueNewIssues,,,,375000.0,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,846000.0,
NoncontrollingInterestIncreaseFromBusinessCombination,,,,5441000.0,
StockRepurchasedAndRetiredDuringPeriodShares,,,,,3079765.0
StockRepurchasedAndRetiredDuringPeriodValue,,,,,300000000.0
StockIssuedDuringPeriodSharesNewIssues,,,,,6666684.0
