,2019q2,2018q4,2019q3,2019q1,2019q4
NetIncomeLoss,,18592000.0,,,
DepreciationAndAmortization,,44418000.0,,,
ShareBasedCompensation,,3766000.0,,,
GainsLossesOnExtinguishmentOfDebt,,0.0,,,
DeferredIncomeTaxExpenseBenefit,,4509000.0,,,
GainLossOnDispositionOfAssets1,,4691000.0,,,
OtherOperatingActivitiesCashFlowStatement,,452000.0,,,
IncreaseDecreaseInRestrictedCashForOperatingActivities,,-889000.0,,,
IncreaseDecreaseInAccountsAndOtherReceivables,,-2109000.0,,,
IncreaseDecreaseInAccountsPayable,,-4404000.0,,,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,-151000.0,,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,-135000.0,,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,11209000.0,,,
NetCashProvidedByUsedInOperatingActivities,,116209000.0,,,
PaymentsToAcquirePropertyPlantAndEquipment,,36690000.0,,,
ProceedsFromSaleOfProductiveAssets,,21646000.0,,,
ProceedsfromSaleofInvestmentinRefranchisedDriveinOperations,,0.0,,,
PaymentsToAcquireNotesReceivable,,7338000.0,,,
ProceedsFromCollectionOfNotesReceivable,,7229000.0,,,
PaymentsForProceedsFromOtherInvestingActivities,,-530000.0,,,
NetCashProvidedByUsedInInvestingActivities,,-34060000.0,,,
PaymentsForRepurchaseOfCommonStock,,150444000.0,,,
PaymentsOfDividendsCommonStock,,23914000.0,,,
RepaymentsOfLongTermDebt,,422090000.0,,,
PaymentsOfDebtIssuanceAndExtinguishmentCosts,,18420000.0,,,
ProceedsFromIssuanceOfDebt,,563000000.0,,,
ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,,6587000.0,,,
ProceedsFromStockOptionsExercised,,4147000.0,,,
ProceedsFromPaymentsForOtherFinancingActivities,,-7318000.0,,,
NetCashProvidedByUsedInFinancingActivities,,-37248000.0,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-49752000.0,,,
CashAndCashEquivalentsAtCarryingValue,,72092000.0,,,
InterestPaid,,24883000.0,,,
IncomeTaxesPaidNet,,18764000.0,,,
IncreaseDecreaseinObligationToAcquireTreasuryStock,,-1917000.0,,,
ProceedsFromStockOptionsExercisedByStockSwap,,12375000.0,,,
CapitalExpendituresIncurredButNotYetPaid,,3471000.0,,,
