,2019q2,2018q4,2019q3,2019q1,2019q4
RevenueFromContractWithCustomerExcludingAssessedTax,252179000.0,55833000.0,63362000.0,65996000.0,
LaborAndRelatedExpense,82868000.0,20279000.0,23646000.0,20006000.0,
OtherGeneralAndAdministrativeExpense,38212000.0,22743000.0,11048000.0,36659000.0,
OperatingExpenses,37759000.0,72136000.0,37670000.0,109895000.0,
IncomeLossFromEquityMethodInvestments,12801000.0,5276000.0,6213000.0,4934000.0,
InterestExpense,5989000.0,1493000.0,765000.0,2260000.0,
InvestmentIncomeNonoperating,320000.0,405000.0,280000.0,472000.0,
OtherNonoperatingIncomeExpense,5036000.0,12194000.0,-135000.0,8892000.0,
NonoperatingIncomeExpense,25333000.0,15813000.0,4797000.0,28954000.0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,129557000.0,50226000.0,24720000.0,91016000.0,
IncomeTaxExpenseBenefit,30560000.0,2688000.0,1617000.0,22957000.0,
ProfitLoss,2644000.0,55675000.0,23103000.0,78590000.0,
NetIncomeLoss,8048000.0,10152000.0,8845000.0,3843000.0,
