,2019q2,2018q4,2019q3,2019q1,2019q4
RevenueFromContractWithCustomerExcludingAssessedTax,2412202000.0,2448510000.0,2584485000.0,8959087000.0,2519185000.0
CostOfGoodsAndServicesSold,1817563000.0,1665209000.0,1810459000.0,6494876000.0,1827494000.0
GrossProfit,624927000.0,783301000.0,1361545000.0,2812825000.0,2191680000.0
SellingGeneralAndAdministrativeExpense,459597000.0,1232083000.0,469758000.0,1642241000.0,1380826000.0
OperatingIncomeLoss,165330000.0,881950000.0,432190000.0,1095326000.0,287244000.0
InterestExpense,7528000.0,24416000.0,20994000.0,38827000.0,24416000.0
NonoperatingIncomeExpense,-3998000.0,-6794000.0,-2090000.0,1729000.0,-52713000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,158593000.0,850740000.0,259387000.0,1241125000.0,596171000.0
IncomeTaxExpenseBenefit,37018000.0,215928000.0,118809000.0,184346000.0,215928000.0
ProfitLoss,121575000.0,271022000.0,197545000.0,933566000.0,155669000.0
NetIncomeLossAttributableToNoncontrollingInterest,475000.0,2447000.0,203000.0,3204000.0,2447000.0
NetIncomeLoss,208766000.0,227013000.0,196586000.0,196586000.0,479544000.0
EarningsPerShareBasic,2.8,8.46,4.5,2.8,8.46
WeightedAverageNumberOfSharesOutstandingBasic,74453000.0,74599000.0,74597000.0,74104000.0,72302000.0
EarningsPerShareDiluted,2.78,3.02,4.48,3.61,3.02
WeightedAverageNumberOfDilutedSharesOutstanding,74929000.0,74841000.0,74937000.0,74568000.0,72392000.0
