,2019q2,2018q4,2019q3,2019q1,2019q4
DividendsCash,1667000.0,5205000.0,2087000.0,5970000.0,2060000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,253000.0,571000.0,245000.0,816000.0,245000.0
StockIssuedDuringPeriodSharesShareBasedCompensation,1723.0,0.0,996.0,,2533.0
StockIssuedDuringPeriodValueShareBasedCompensation,-17000.0,160000.0,-132000.0,-243000.0,-34000.0
StockRepurchasedAndRetiredDuringPeriodValue,494000.0,1607000.0,5198000.0,,7166000.0
OtherComprehensiveIncomeLossNetOfTax,178000.0,246000.0,-418000.0,15000.0,178000.0
NetIncomeLoss,4312000.0,5523000.0,4312000.0,14411000.0,4261000.0
CommonStockSharesIssued,6878829.0,6871963.0,6729456.0,6883216.0,6539796.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,194973000.0,203242000.0,208838000.0,177214000.0,206338000.0
MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,,445000.0,,640000.0,
TaxCutsandJobsActReclassificationfromAOCItoRetainedEarningsTaxEffect,,0.0,,0.0,
NetIncomeLossAttributableToNoncontrollingInterest,,0.0,,97000.0,
StockRepurchasedDuringPeriodShares,,,,0.0,
StockRepurchasedDuringPeriodValue,,,,1607000.0,
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,-63000.0,
