,2019q2,2018q4,2019q3,2019q1,2019q4
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,13483000.0,,13483000.0,3300000.0,6986000.0
StockIssuedDuringPeriodValueStockOptionsExercised,11890000.0,,10584000.0,54097000.0,6326000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,10425000.0,,10425000.0,46100000.0,10494000.0
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,2943000.0,,2620000.0,-21338000.0,3309000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,3100000.0,,69000.0,-2553000.0,69000.0
NetIncomeLoss,60754000.0,,58777000.0,23641000.0,64418000.0
CommonStockSharesOutstanding,54564508.0,,54080192.0,52983685.0,54949098.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1338225000.0,,1055348000.0,1262596000.0,1492117000.0
RestrictedStockValueSharesIssuedNetOfTaxWithholdings,,,,2069000.0,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,5264000.0,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,,,,20065000.0,
CumulativeEffectOnRetainedEarningsNetOfTax1,,,,1740000.0,
