,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
PreferredStockSharesOutstanding,,,,,,,,,,,,,100.0,0.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PropertyPlantAndEquipmentNet,,,,,,,,,,,,,190310000.0,190310000.0,190310000.0,141428000.0,147988000.0,135926000.0,152175000.0,152175000.0,151578000.0,158725000.0,179383000.0,179325000.0,182726000.0,188203000.0,179383000.0,225263000.0,231620000.0,251618000.0,220114000.0,247847000.0,247847000.0,254415000.0,274098000.0,275931000.0,272972000.0,281090000.0,289817000.0,288256000.0,353735000.0,393900000.0,380230000.0,385578000.0
FiniteLivedFranchiseRightsNet,,,,,,,,,,,,,67238000.0,70432000.0,94170000.0,93177000.0,94170000.0,94170000.0,94170000.0,90168000.0,88546000.0,90168000.0,90168000.0,101787000.0,102900000.0,102900000.0,102900000.0,123590000.0,126102000.0,127017000.0,134153000.0,134153000.0,134153000.0,134153000.0,134153000.0,150243000.0,148750000.0,168677000.0,152028000.0,173867000.0,325173000.0,322199000.0,344974000.0,348941000.0
CommonStockParOrStatedValuePerShare,,,,,,,,,,,,,0.0,10.0,,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Goodwill,,,,,,,,,,,,,124934000.0,124934000.0,8162000.0,124934000.0,8162000.0,8162000.0,8162000.0,8162000.0,8162000.0,8162000.0,8162000.0,17793000.0,17882000.0,18384000.0,8162000.0,21089000.0,21484000.0,21804000.0,17793000.0,30472000.0,36346000.0,36346000.0,22869000.0,36792000.0,36792000.0,36792000.0,36792000.0,38469000.0,38469000.0,143568000.0,122619000.0,122619000.0
CommonStockSharesAuthorized,,,,,,,,,,,,,100000000.0,100000000000.0,,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,,100000000.0,,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
CommonStockSharesIssued,,,,,,,,,,,,,23176920.0,23685437.0,,23668936.0,23682869.0,23682869.0,23682869.0,23710910.0,23711257.0,,35222667.0,,35508660.0,35508660.0,35508660.0,35508660.0,35508660.0,35508660.0,35835800.0,36202380.0,36158711.0,35835800.0,36158711.0,36158711.0,36158711.0,36158711.0,36158711.0,36538903.0,37007102.0,36538903.0,52723814.0,51840200.0
FiniteLivedIntangibleAssetsNet,,,,,,,,,,,,,,5225000.0,12993000.0,12993000.0,12993000.0,12993000.0,12993000.0,12802000.0,12564000.0,12718000.0,12802000.0,14602000.0,15101000.0,14887000.0,15467000.0,15264000.0,15322000.0,15356000.0,15467000.0,20216000.0,23587000.0,23209000.0,19591000.0,23794000.0,23192000.0,23192000.0,24414000.0,24414000.0,32407000.0,32676000.0,32690000.0,32973000.0
CommonStockSharesOutstanding,,,,,,,,,,,,,21750000.0,21750237000.0,,22894633.0,22748241.0,22748241.0,22748241.0,23048334.0,23048334.0,,23048334.0,,34904133.0,35036710.0,35039890.0,35113324.0,35123582.0,35255399.0,35039890.0,35409263.0,35427401.0,35258579.0,35436252.0,35436252.0,35436252.0,35436252.0,35742427.0,35742427.0,35742427.0,35742427.0,5104937.0,51049377.0
FiniteLivedIntangibleAssetOffmarketLeaseFavorableNet,,,,,,,,,,,,,,,,,,,,,,2974000.0,,4725000.0,4725000.0,4725000.0,,5549000.0,5398000.0,5272000.0,,5441000.0,5441000.0,6065000.0,5862000.0,5721000.0,5862000.0,5862000.0,5892000.0,,,,,
