,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,,,,,,,,,,,,,,,,13000000.0,18000000.0,22000000.0,45000000.0,26000000.0,43000000.0,44000000.0,32000000.0,12000000.0,20000000.0,25000000.0,45000000.0,,,,32000000.0,32000000.0,,,,
ProceedsFromPaymentsForOtherFinancingActivities,,,,,,,,,,,,,,,,,,,,,,,,-2000000.0,-9000000.0,-14000000.0,-2000000.0,-2000000.0,34000000.0,-1000000.0,7000000.0,3000000.0,-53000000.0,-47000000.0,-57000000.0,3000000.0,-53000000.0,-47000000.0,91000000.0,36000000.0,93000000.0,79000000.0,12000000.0,32000000.0
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,,,,,,,,,,,,,,,,-1380000000.0,-2008000000.0,-4339000000.0,-3252000000.0,-1380000000.0,-1583000000.0,-2190000000.0,-524000000.0,-774000000.0,-1359000000.0,-1890000000.0,-2923000000.0,-571000000.0,-1359000000.0,-1890000000.0,-1526000000.0,-2923000000.0,-820000000.0,-572000000.0,-1095000000.0,-820000000.0
CashPeriodIncreaseDecrease,,,,,,,,,,,,,,,,,,,,,,,,259000000.0,148000000.0,210000000.0,-131000000.0,259000000.0,148000000.0,248000000.0,-2000000.0,36000000.0,-49000000.0,-106000000.0,181000000.0,-167000000.0,46000000.0,254000000.0,-118000000.0,-59000000.0,,,,
Cash,,,,,,,,,,,,,,,,,,,,,,,,675000000.0,675000000.0,675000000.0,4000000.0,531000000.0,495000000.0,657000000.0,675000000.0,436000000.0,495000000.0,495000000.0,436000000.0,436000000.0,436000000.0,436000000.0,495000000.0,436000000.0,,,,
ProceedsfromSaleofEquitySecuritiesFVNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3576000000.0,4637000000.0,6859000000.0,6859000000.0,3576000000.0,4637000000.0,5250000000.0,6473000000.0
PaymentstoAcquireEquitySecuritiesFVNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3473000000.0,5296000000.0,5936000000.0,871000000.0,3901000000.0,4791000000.0,871000000.0,4189000000.0
ProceedsFromIssuanceOfLongTermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1236000000.0,,,,0.0,498000000.0,0.0,0.0,0.0,0.0,498000000.0,491000000.0,,0.0
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,,,,,,,,,,,,,,,,,,,,,,,,725000000.0,965000000.0,0.0,781000000.0,,,,0.0,,,,,558000000.0,0.0,0.0,0.0,557000000.0,0.0,557000000.0,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,,,,,,,,,,,,-1000000.0,0.0,-491000000.0,,,,-1000000.0,,,,,,,,,,,,,
ProceedsFromSaleOfMortgageLoansHeldForSale,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,10000000.0,24000000.0,,,6000000.0,0.0,,,,0.0,,,,,,,,,
DefinedBenefitPlanRemeasurementGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14000000.0,-7000000.0,32000000.0,-318000000.0,-140000000.0
ImpairmentOfIntangibleAssetsExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,55000000.0,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-167000000.0,-128000000.0,88000000.0,0.0,209000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000000.0,617000000.0,499000000.0,338000000.0,338000000.0
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000000.0
IncreaseDecreaseInFuturePolicyBenefitReservesAndOtherInsuranceLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-654000000.0,211000000.0
ProceedsfromDivestitureofInterestinLimitedPartnershipInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749000000.0,862000000.0
PaymentsToAcquireLimitedPartnershipInterests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357000000.0,672000000.0
PaymentsForRepurchaseOfPreferredStockAndPreferenceStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385000000.0,385000000.0,,,288000000.0,288000000.0
ProceedsPaymentsIssuanceofSharesSharebasedPaymentArrangementIncludingOptionExercised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,44000000.0
GoodwillImpairmentLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,125000000.0,0.0,,,,
TransferOfCashToHeldForSale,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
