,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23000.0,0.0,0.0,136000.0,41000.0,21000.0
LeaseholdImprovementsPaidByLandlord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,
WarrantsExcercisedNotYetPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000.0,,,,,,
CommonStockIssuedForLicenceRightsUnderLicenceAgreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
IncreaseDecreaseInOperatingLeaseRightOfUseAsset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,10000.0,-99000.0,-95000.0
ProceedsFromStockOptionsExercised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5000.0,5000.0,0.0,0.0,5000.0
ProceedsFromIssuanceInitialPublicOffering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9170000.0,,,,12025000.0,5516000.0,10269000.0,19292000.0,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11000.0,6000.0,-16000.0,-11000.0,-13000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400000.0,11561000.0,8275000.0,1648000.0,5999000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7134000.0,7714000.0,7714000.0,8782000.0,18695000.0
SharesIssuedInLeiuOfCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490000.0,,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5516000.0,15298000.0
WarrantsIssuedForServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104000.0,,,,104000.0,,,,,
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106000.0,,,,
RecognitionOfOperatingLeaseLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213000.0,,,,
