,2019q2,2018q4,2019q3,2019q1,2019q4
OperatingLeasesIncomeStatementLeaseRevenue,12729000.0,26245000.0,23406000.0,18372000.0,19123000.0
TenantRecoveries,3933000.0,2906000.0,,12051000.0,
CostOfRevenue,5711951.0,1325188.0,1517493.0,1858970.0,3316323.0
GrossProfit,35545.0,2615642.0,88754000.0,3911930.0,2851927.0
OtherIncome,,226000.0,521000.0,534000.0,5000.0
Revenues,11008444.0,5518591.0,12047000.0,49217000.0,2817731.0
MarketingExpense,325.0,314.0,,,
LaborAndRelatedExpense,614220.0,81500.0,,,
ResearchAndDevelopmentExpense,1280308.0,307923.0,333866.0,324969.0,658870.0
CostOfOtherPropertyOperatingExpense,4452000.0,5084000.0,8240000.0,8205000.0,19216000.0
SellingAndMarketingExpense,2686382.0,1326701.0,629788.0,1979365.0,1326701.0
OperatingLeasesRentExpenseNet,1266.0,472.0,,,
TravelAndEntertainmentExpense,40092.0,60802.0,,,
DepreciationAndAmortization,6542000.0,6249000.0,6444000.0,26788000.0,6249000.0
ProfessionalFees,68454.0,5276.0,,,
GeneralAndAdministrativeExpense,1118107.0,4299000.0,285813.0,265157.0,333662.0
OfficeSupplyExpense,431.0,1798.0,,,
ComputerAndInternetExpense,19661.0,16798.0,,,
OperatingIncomeLoss,82487.0,-752000.0,32151.0,50023.0,13826.0
InvestmentIncomeInterestAndDividend,91459.0,,,,
DisposalGroupNotDiscontinuedOperationLossGainOnWriteDown,3797.0,,,,
OtherGeneralAndAdministrativeExpense,48894.0,20986.0,,,
MarketableSecuritiesRealizedGainLoss,73699.0,119075.0,,119075.0,
InterestExpense,46117.0,11777000.0,8202000.0,11299.0,20817.0
OtherNonoperatingIncomeExpense,-3985000.0,-4379000.0,-3678000.0,-20123000.0,-4379000.0
NetRealizedOrUnrealizedGainLossOnTradingSecurities,,,,,-80596.0
OperatingExpenses,12367000.0,609530.0,1300398.0,3651749.0,11992000.0
NonoperatingIncomeExpense,21896.0,7592.0,2520.0,23785.0,19515.0
OtherComprehensiveIncomeLossNetOfTax,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,460063.0,66621.0,31516.0,128440.0,66621.0
NetIncomeLossAttributableToNoncontrollingInterest,-653000.0,-157000.0,-380000.0,-2459000.0,-1709000.0
NetIncomeLoss,-2946000.0,-4283000.0,-5423000.0,-18716000.0,-4301000.0
ComprehensiveIncomeNetOfTax,-758827.0,-113657.0,,,
IncomeTaxExpenseBenefit,19847.0,25061.0,6303.0,27627.0,7497.0
ProfitLoss,-4473000.0,-113657.0,21430.0,264956.0,80554.0
PreferredStockDividendsIncomeStatementImpact,956000.0,,1566000.0,3940000.0,2868000.0
TemporaryEquityAccretionToRedemptionValueAdjustment,,,3801000.0,,1900000.0
MarketableSecuritiesUnrealizedGainLoss,59355.0,-129657.0,,,
UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,61000.0,,107000.0,201000.0,62000.0
OtherComprehensiveIncomeOtherNetOfTax,427562.0,80554.0,,245941.0,
NetIncomeLossAvailableToCommonStockholdersBasic,-6469000.0,-2682000.0,-12471000.0,-23216000.0,-18665000.0
EarningsPerShareBasic,-0.01,0.0,0.0,0.01,0.01
EarningsPerShareBasicAndDiluted,-1.38,-1.22,-2.27,-5.76,-4.74
EarningsPerShareDiluted,0.01,0.0,0.0,0.02,0.01
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,4727675.0,3801900.0,3522959.0,4027329.0,6847950.0
WeightedAverageNumberOfSharesOutstandingBasic,15107778.0,113405751.0,15268071.0,14964048.0,15036644.0
WeightedAverageNumberOfDilutedSharesOutstanding,15095123.0,15064631.0,15088512.0,15284071.0,15399163.0
BusinessCombinationAcquisitionRelatedCosts,,86000.0,,,
InvestmentIncomeInterest,,19068.0,34606.0,22087.0,71522.0
GainsLossesOnExtinguishmentOfDebt,,-4405000.0,-3601000.0,,
HeldToMaturitySecuritiesTransferredToTradingSecuritiesUnrealizedGainLoss,,32603.0,,,
Revenue,,,270126000.0,,
CostOfSales,,,164240000.0,,
AdministrativeExpense,,,87134000.0,,
OperatingProfitBeforeExceptionalItem,,,25445000.0,,
ImpairmentLoss,,,423335000.0,,
ProfitLossFromOperatingActivities,,,25445000.0,,
FinanceCosts,,,19521000.0,,
FinanceIncome,,,2365000.0,,
NetFinanceCosts,,,7674000.0,,
OtherGainsLosses,,,288000.0,,
ChangeInFairValue,,,181000.0,,
ProfitLossBeforeTax,,,22494000.0,,
IncomeTaxExpenseContinuingOperations,,,9127000.0,,
ProfitLossAttributableToOwnersOfParent,,,-423867000.0,,
ProfitLossAttributableToNoncontrollingInterests,,,13414000.0,,
BasicEarningsLossPerShare,,,6.4,,
DilutedEarningsLossPerShare,,,-599.5,,
GainsLossesOnSalesOfOtherRealEstate,,,,,
GainLossOnSaleOfStockInSubsidiaryOrEquityMethodInvestee,,,,,
