,2019q2,2018q4,2019q3,2019q1,2019q4
NetIncomeLoss,198000000.0,197000000.0,394000000.0,202000000.0,569000000.0
AdjustmentsToAdditionalPaidInCapitalOther,-103000000.0,-113000000.0,-321000000.0,-550000000.0,-306000000.0
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,0.0,0.0,108000000.0,161000000.0,108000000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,5000000.0,-4000000.0,8000000.0,-3000000.0,-6000000.0
StockIssuedDuringPeriodValueShareBasedCompensation,3000000.0,24000000.0,1000000.0,36000000.0,10000000.0
SharesOutstanding,62100000.0,59300000.0,62100000.0,59300000.0,62200000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1835000000.0,1553000000.0,1337000000.0,1647000000.0,1831000000.0
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,2000000.0,
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,,,,4000000.0,4000000.0
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,,,,,6000000.0
ClassOfWarrantOrRightStatedInterestRate,,,,,0.0163
