,2019q2,2018q4,2019q3,2019q1,2019q4
Revenues,,93002000.0,,,
RevenueFromContractWithCustomerExcludingAssessedTax,,107029000.0,,417042000.0,
CostOfRevenue,,38267000.0,,120145000.0,
GrossProfit,,58234000.0,,67426000.0,
SellingAndMarketingExpense,,33240000.0,,84234000.0,
ResearchAndDevelopmentExpense,,17407000.0,,58501000.0,
GeneralAndAdministrativeExpense,,18727000.0,,97077000.0,
OperatingExpenses,,53729000.0,,184523000.0,
OperatingIncomeLoss,,5829000.0,,55617000.0,
OtherNonoperatingIncomeExpense,,1079000.0,,3920000.0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,12297000.0,,45394000.0,
IncomeTaxExpenseBenefit,,-4593000.0,,-7775000.0,
EarningsPerShareBasic,,0.65,,0.55,
EarningsPerShareDiluted,,0.52,,0.52,
WeightedAverageNumberOfSharesOutstandingBasic,,33702000.0,,34441000.0,
WeightedAverageNumberOfDilutedSharesOutstanding,,35785000.0,,35806000.0,
NetIncomeLoss,,18823000.0,,52850000.0,
UnrealizedGainLossOnInvestments,,-384000.0,,-661000.0,
ComprehensiveIncomeNetOfTax,,12442000.0,,22708000.0,
