,2019q2,2018q4,2019q3,2019q1,2019q4
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAdjustedBalance1,,,,748274000.0,
StockIssuedDuringPeriodValueShareBasedCompensation,,,,10573000.0,
StockIssuedDuringPeriodValueNewIssues,,,,271309000.0,
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,5976000.0,
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,,,,9098000.0,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,34302000.0,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,9974000.0,
StockRepurchasedAndRetiredDuringPeriodShares,,,,8000.0,
StockRepurchasedAndRetiredDuringPeriodValue,,,,663000.0,
CumulativeEffectOnRetainedEarningsNetOfTax1,,,,18244000.0,
UnrealizedGainLossOnInvestments,,,,38000.0,
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,,,,12935000.0,
NetIncomeLoss,,,,22575000.0,
StockholdersEquity,,,,290851000.0,
