,2019q2,2018q4,2019q3,2019q1,2019q4
LimitedPartnersCapitalAccountUnitsOutstanding,245493184.0,,245000000.0,217097057.0,
PreferredUnitsOutstanding,600000.0,600000.0,600000.0,600000.0,
CashAndCashEquivalentsAtCarryingValue,29000000.0,75000000.0,75000000.0,10000000.0,
ReceivablesNetCurrent,252000000.0,219000000.0,202000000.0,195000000.0,
DueFromAffiliateCurrent,309000000.0,264000000.0,323000000.0,279000000.0,
PrepaidExpenseAndOtherAssetsCurrent,79000000.0,27000000.0,79000000.0,79000000.0,
AssetsCurrent,648000000.0,585000000.0,615000000.0,563000000.0,
PropertyPlantAndEquipmentGross,8145000000.0,7965000000.0,8409000000.0,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1300000000.0,1215000000.0,1480000000.0,,
PropertyPlantAndEquipmentNet,6882000000.0,6750000000.0,6929000000.0,6249000000.0,
IntangibleAssetsNetExcludingGoodwill,1104000000.0,1154000000.0,1104000000.0,1154000000.0,
Goodwill,1051000000.0,988000000.0,1051000000.0,1051000000.0,
EquityMethodInvestments,602000000.0,607000000.0,602000000.0,602000000.0,
OtherAssetsNoncurrent,130000000.0,121000000.0,271000000.0,130000000.0,
Assets,10295000000.0,10197000000.0,10295000000.0,10295000000.0,
AccountsPayableTradeCurrent,214000000.0,201000000.0,196000000.0,186000000.0,
DueToAffiliateCurrent,274000000.0,207000000.0,277000000.0,207000000.0,
InterestPayableCurrent,69000000.0,68000000.0,41000000.0,40000000.0,
LongTermDebtAndCapitalLeaseObligationsCurrent,504000000.0,,503000000.0,,
OtherLiabilitiesCurrent,91000000.0,85000000.0,93000000.0,81000000.0,
LiabilitiesCurrent,1092000000.0,604000000.0,1110000000.0,518000000.0,
LongTermDebtAndCapitalLeaseObligations,4622000000.0,4127000000.0,4460000000.0,4460000000.0,
OtherLiabilitiesNoncurrent,69000000.0,77000000.0,186000000.0,54000000.0,
Liabilities,5621000000.0,4699000000.0,5621000000.0,5621000000.0,
CommitmentsAndContingencies,,,,,
PreferredUnitsPreferredPartnersCapitalAccounts,593000000.0,594000000.0,603000000.0,604000000.0,
LimitedPartnersCapitalAccount,3997000000.0,2925000000.0,3931000000.0,2925000000.0,
PartnersCapital,4806000000.0,4806000000.0,4806000000.0,2242000000.0,
LiabilitiesAndStockholdersEquity,10534000000.0,9505000000.0,10295000000.0,10295000000.0,
LimitedPartnersCapitalAccountUnitsIssued,,245472743.0,,,
GeneralPartnersCapitalAccount,,1292000000.0,,0.0,
DebtCurrent,,,,1000000.0,
