,2019q2,2018q4,2019q3,2019q1,2019q4
PaymentsOfStockIssuanceCosts,3728000.0,,,,
StockIssuedDuringPeriodValueStockOptionsExercised,252000.0,17585000.0,4914000.0,,9507000.0
TemporaryEquityIssuedDuringPeriodSharesNewIssues,2092785.0,,,,
TemporaryEquityStockIssuedDuringPeriodValueNewIssues,34942000.0,,,,
TemporaryEquityStockIssuedDuringPeriodSharesNewIssuesForExerciseOfWarrants,85170.0,,,,
TemporaryEquityIssuedDuringPeriodSharesNewIssuesForExerciseOfWarrants,1171000.0,,,,
TemporaryEquityEliminationAsPartOfReorganizationShares,41233452.0,,,,
TemporaryEquityEliminationAsPartofReorganization,346428000.0,,,,
TemporaryEquitySharesOutstanding,41148282.0,,,,
TemporaryEquityCarryingAmountAttributableToParent,345257000.0,,,,
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,-4103000.0,,-4103000.0,,-4103000.0
StockIssuedDuringPeriodValueNewIssuesForExerciseOfWarrants,1000.0,,,,
StockIssuedDuringPeriodSharesStockOptionsExercised,831901.0,2540312.0,1497444.0,,1729833.0
AdjustmentstoAdditionalPaidinCapitalExerciseofStockOptions,22200000.0,,,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,346428000.0,,,,
StockIssuedDuringPeriodValueNewIssues,201620000.0,,,,
AdjustmentsToAdditionalPaidinCapitalEarlyExerciseofStockOptions,1204000.0,1045000.0,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,37403000.0,26850000.0,7577000.0,,14009000.0
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,81683000.0,81683000.0,81683000.0,,81683000.0
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebtSubsequentAdjustments,37086000.0,37100000.0,37086000.0,,37086000.0
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,94000.0,9000.0,-82000.0,,219000.0
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,-109000.0,21000.0,-129000.0,,302000.0
NetIncomeLoss,-33240000.0,-91730000.0,-33240000.0,,-26555000.0
StockholdersEquity,-244736000.0,197245000.0,264566000.0,,247868000.0
StockRepurchasedDuringPeriodValue,,0.0,,,
StockIssuedDuringPeriodValueRestrictedStockAwardGross,,0.0,,,
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,,5626000.0,5626000.0,,6394000.0
AdjustmentsToAdditionalPaidInCapitalEarlyExerciseOfStockOptions,,,533000.0,,533000.0
