filed,adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,accepted,prevrpt,detail,instance,nciks,aciks,yr,fik,quarter
20181026,0000884887-18-000086,884887,ROYAL CARIBBEAN CRUISES LTD,4400.0,US,FL,MIAMI,33132,1050 CARIBBEAN WAY,,3055396000,US,FL,MIAMI,33132,1050 CARIBBEAN WAY,,,,980081645.0,RA HOLDINGS INC,19920424.0,1-LAF,0,1231.0,10-Q,20180930,2018.0,Q3,2018-10-25 17:33:00.0,0,1,rcl-20180930.xml,1,,18,86,2018q4
20190222,0000884887-19-000017,884887,ROYAL CARIBBEAN CRUISES LTD,4400.0,US,FL,MIAMI,33132,1050 CARIBBEAN WAY,,3055396000,US,FL,MIAMI,33132,1050 CARIBBEAN WAY,,,,980081645.0,RA HOLDINGS INC,19920424.0,1-LAF,1,1231.0,10-K,20181231,2018.0,FY,2019-02-22 17:15:00.0,0,1,rcl-20181231.xml,1,,19,17,2019q1
20190502,0000884887-19-000023,884887,ROYAL CARIBBEAN CRUISES LTD,4400.0,US,FL,MIAMI,33132,1050 CARIBBEAN WAY,,3055396000,US,FL,MIAMI,33132,1050 CARIBBEAN WAY,,,,980081645.0,RA HOLDINGS INC,19920424.0,1-LAF,0,1231.0,10-Q,20190331,2019.0,Q1,2019-05-01 18:07:00.0,0,1,rcl-20190331.xml,1,,19,23,2019q2
20190726,0000884887-19-000042,884887,ROYAL CARIBBEAN CRUISES LTD,4400.0,US,FL,MIAMI,33132,1050 CARIBBEAN WAY,,3055396000,US,FL,MIAMI,33132,1050 CARIBBEAN WAY,,,,980081645.0,RA HOLDINGS INC,19920424.0,1-LAF,0,1231.0,10-Q,20190630,2019.0,Q2,2019-07-25 18:01:00.0,0,1,a2019q210q_htm.xml,1,,19,42,2019q3
20191030,0000884887-19-000044,884887,ROYAL CARIBBEAN CRUISES LTD,4400.0,US,FL,MIAMI,33132,1050 CARIBBEAN WAY,,3055396000,US,FL,MIAMI,33132,1050 CARIBBEAN WAY,,,,980081645.0,RA HOLDINGS INC,19920424.0,1-LAF,0,1231.0,8-K,20191031,2019.0,FY,2019-10-30 08:32:00.0,0,0,a2019q38k_htm.xml,1,,19,44,2019q4
20191030,0000884887-19-000046,884887,ROYAL CARIBBEAN CRUISES LTD,4400.0,US,FL,MIAMI,33132,1050 CARIBBEAN WAY,,3055396000,US,FL,MIAMI,33132,1050 CARIBBEAN WAY,,,,980081645.0,RA HOLDINGS INC,19920424.0,1-LAF,0,1231.0,10-Q,20190930,2019.0,Q3,2019-10-30 17:28:00.0,0,1,a2019q310q_htm.xml,1,,19,46,2019q4
