,2019q2,2018q4,2019q3,2019q1,2019q4
Revenues,256000000.0,775000000.0,565000000.0,33000000.0,265000000.0
IncomeLossFromEquityMethodInvestments,119000000.0,147000000.0,137000000.0,114000000.0,139000000.0
OtherIncome,1000000.0,2000000.0,1000000.0,2000000.0,2000000.0
RevenuesAndOtherIncome,355000000.0,1093000000.0,401000000.0,1486000000.0,411000000.0
OtherCostAndExpenseOperating,97000000.0,84000000.0,224000000.0,321000000.0,266000000.0
Depreciation,29000000.0,88000000.0,57000000.0,116000000.0,87000000.0
GeneralAndAdministrativeExpense,16000000.0,48000000.0,16000000.0,65000000.0,51000000.0
TaxesOtherThanIncomeTaxes,11000000.0,8000000.0,19000000.0,35000000.0,8000000.0
InterestAndDebtExpense,27000000.0,87000000.0,27000000.0,52000000.0,28000000.0
CostAndExpenses,224000000.0,516000000.0,167000000.0,686000000.0,516000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,174000000.0,132000000.0,433000000.0,217000000.0,577000000.0
IncomeTaxExpenseBenefit,2000000.0,0.0,2000000.0,4000000.0,1000000.0
NetIncomeLoss,172000000.0,131000000.0,431000000.0,524000000.0,668000000.0
NetIncomeLossAllocatedtoPreferredUnitholdersRedeemable,10000000.0,28000000.0,19000000.0,0.0,9000000.0
NetIncomeLossAllocatedToGeneralPartners,53000000.0,43000000.0,71000000.0,92000000.0,172000000.0
NetIncomeLossAllocatedToLimitedPartners,110000000.0,144000000.0,153000000.0,519000000.0,375000000.0
OtherExpenses,,1000000.0,,1000000.0,0.0
NetIncomeLossAttributableToPredecessors,,32000000.0,,0.0,
NetIncomeLossAttributableToPartners,,299000000.0,,796000000.0,
DistributionMadeToLimitedPartnerDistributionsPaidPerUnit,,0.615,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,1.17,
NetIncomeLossNetOfTaxPerOutstandingLimitedPartnershipUnitDiluted,,,,0.6,
