,2019q2,2018q4,2019q3,2019q1,2019q4
ProfitLoss,52300000.0,163800000.0,95600000.0,259100000.0,177200000.0
Depreciation,9200000.0,27600000.0,17200000.0,36200000.0,26100000.0
AmortizationOfIntangibleAssets,15100000.0,45800000.0,30200000.0,,15200000.0
DeferredIncomeTaxesAndTaxCredits,-2100000.0,-4300000.0,-2200000.0,-23600000.0,-1900000.0
ShareBasedCompensation,4300000.0,2600000.0,8400000.0,13400000.0,9300000.0
IncreaseDecreaseInAccountsReceivable,1300000.0,21700000.0,22300000.0,1300000.0,17200000.0
IncreaseDecreaseInInventories,-2000000.0,18500000.0,19700000.0,12000000.0,18500000.0
IncreaseDecreaseInOtherCurrentAssets,8800000.0,8200000.0,7500000.0,-5600000.0,8200000.0
IncreaseDecreaseInAccountsPayable,-40800000.0,-28100000.0,-18400000.0,13400000.0,-28100000.0
IncreaseDecreaseInOtherEmployeeRelatedLiabilities,-16500000.0,4000000.0,-5700000.0,-19700000.0,-7700000.0
IncreaseDecreaseInOtherCurrentLiabilities,19400000.0,30000000.0,24100000.0,-9400000.0,30000000.0
IncreaseDecreaseInOtherNoncurrentAssetsAndLiabilitiesNet,13600000.0,-34200000.0,13000000.0,-9200000.0,17100000.0
NetCashProvidedByUsedInOperatingActivities,-13100000.0,298400000.0,57800000.0,409700000.0,157500000.0
PaymentsToAcquirePropertyPlantAndEquipment,5400000.0,25100000.0,9700000.0,74500000.0,28500000.0
ProceedsFromSaleOfPropertyPlantAndEquipment,6000000.0,2300000.0,6100000.0,2400000.0,6100000.0
PaymentsToAcquireBusinessesNetOfCashAcquired,0.0,2000000.0,2000000.0,0.0,127800000.0
NetCashProvidedByUsedInInvestingActivities,-5100000.0,-28200000.0,-11500000.0,-39100000.0,-150700000.0
ProceedsFromIssuanceOfLongTermDebt,0.0,0.0,1000000000.0,1000000000.0,0.0
RepaymentsOfLongTermDebt,2500000.0,50000000.0,5000000.0,52500000.0,9700000.0
PaymentsOfDebtIssuanceCosts,0.0,0.0,0.0,9900000.0,0.0
PaymentsOfDividendsCommonStock,31000000.0,31400000.0,0.0,62900000.0,31400000.0
TransfersToParentNet,10000000.0,241700000.0,,359500000.0,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,0.0,10100000.0,5000000.0,0.0,10100000.0
PaymentsForRepurchaseOfCommonStock,0.0,,235700000.0,56000000.0,0.0
NetCashProvidedByUsedInFinancingActivities,782500000.0,-241700000.0,-178000000.0,-359500000.0,-75100000.0
EffectOfExchangeRateOnCashAndCashEquivalents,-1500000.0,-16200000.0,-9100000.0,-3600000.0,-200000.0
CashAndCashEquivalentsPeriodIncreaseDecrease,809800000.0,5700000.0,-133700000.0,-1200000.0,79100000.0
CashAndCashEquivalentsAtCarryingValue,26900000.0,21500000.0,91500000.0,159000000.0,26900000.0
ProceedsFromRepaymentsOfShortTermDebt,,0.0,,0.0,0.0
CashDivestedFromDeconsolidation,,0.0,993600000.0,993600000.0,0.0
NetReceiptsOfRevolvingLongTermDebt,,,119000000.0,,0.0
AdjustmentForAmortization,,,,61400000.0,
AssetImpairmentCharges,,,,13300000.0,
PensionAndOtherPostretirementBenefitExpense,,,,14300000.0,
PensionAndOtherPostretirementBenefitContributions,,,,6700000.0,
InterestPaidNet,,,,0.0,
IncomeTaxesPaidNet,,,,0.0,
