,2019q2,2018q4,2019q3,2019q1,2019q4
CommonStockDividendsPerShareDeclared,0.0,,0.0,,0.0
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,-800000.0,,0.0,,0.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationTax,-100000.0,,0.0,,0.0
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,600000.0,,400000.0,,400000.0
NetIncomeLoss,1200000.0,,34800000.0,33600000.0,86900000.0
DividendsCommonStockCash,3100000.0,,3100000.0,13100000.0,3300000.0
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,-28000000.0,,-28000000.0,,-30400000.0
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,2500000.0,,-20300000.0,-5700000.0,-13400000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,1100000.0,,1500000.0,,1500000.0
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,-1700000.0,,-2800000.0,5300000.0,-1200000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2400000.0,,2100000.0,9900000.0,2900000.0
StockholdersEquity,456900000.0,,456900000.0,456900000.0,410600000.0
StockIssuedDuringPeriodValueNewIssues,,,0.0,184100000.0,0.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,6400000.0,2600000.0,6500000.0
StockRepurchasedDuringPeriodValue,,,12000000.0,4300000.0,12000000.0
TreasuryStockValueAcquiredCostMethod,,,,0.0,
TaxCutsAndJobsActReclassificationFromAOCIToRetainedEarningsTaxEffect,,,,0.0,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,1500000.0,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,700000.0,
