,2019q2,2018q4,2019q3,2019q1,2019q4
NetIncomeLoss,,-60409000.0,,,
ShareBasedCompensation,,3863000.0,,,
AmortizationOfDebtDiscountPremium,,2214000.0,,,
IncreaseDecreaseInDerivativeLiabilities,,0.0,,,
DepreciationAndAmortization,,727000.0,,,
AmortizationLeaseIncentives,,184000.0,,,
InventoryWriteDown,,1800000.0,,,
DeferredIncomeTaxExpenseBenefit,,60000.0,,,
IncreaseDecreaseInOtherCurrentAssets,,-816000.0,,,
IncreaseDecreaseInAccountsReceivable,,6460000.0,,,
IncreaseDecreaseInInventories,,36721000.0,,,
IncreaseDecreaseInOtherOperatingAssets,,8741000.0,,,
IncreaseDecreaseInOtherCurrentLiabilities,,21000.0,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,12318000.0,,,
IncreaseDecreaseInOtherOperatingLiabilities,,-127000.0,,,
NetCashProvidedByUsedInOperatingActivities,,-78178000.0,,,
PaymentsToAcquirePropertyPlantAndEquipment,,1176000.0,,,
NetCashProvidedByUsedInInvestingActivities,,-52000.0,,,
ProceedsFromIssuanceOfCommonStock,,75722000.0,,,
ProceedsFromConvertibleDebt,,0.0,,,
ProceedsFromNotesPayable,,15000000.0,,,
PaymentsOfStockIssuanceCosts,,0.0,,,
ProceedsFromStockOptionsExercised,,850000.0,,,
NetCashProvidedByUsedInFinancingActivities,,76678000.0,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,2189000.0,,,
CashAndCashEquivalentsAtCarryingValue,,111810000.0,,,
ConvertibleDebtUnrealizedGainLossChangeInConversionFairValue,,6228000.0,,,
DerivativeLiabilitiesReclassificationToEquity,,0.0,,,
