,2019q2,2018q4,2019q3,2019q1,2019q4
RevenueFromContractWithCustomerExcludingAssessedTax,1401139000.0,,2131849000.0,623148000.0,558446000.0
CostOfRevenue,567098000.0,1839056000.0,1378343000.0,471188000.0,1839056000.0
GrossProfit,148803000.0,562191000.0,502934000.0,151960000.0,159265000.0
SellingGeneralAndAdministrativeExpense,78102000.0,269091000.0,214026000.0,79671000.0,321023000.0
AmortizationOfIntangibleAssets,2603000.0,12208000.0,24026000.0,2718000.0,33054000.0
OperatingIncomeLoss,71321000.0,79683000.0,83594000.0,79683000.0,83594000.0
InterestExpense,325000.0,1000000.0,410000.0,625000.0,2162000.0
OtherNonoperatingIncomeExpense,1679000.0,4726000.0,3928000.0,287000.0,2885000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,80679000.0,299209000.0,84735000.0,75556000.0,317320000.0
IncomeTaxExpenseBenefit,18913000.0,78393000.0,59511000.0,19833000.0,76825000.0
ProfitLoss,55106000.0,57788000.0,180454000.0,59952000.0,60041000.0
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,-348000.0,2756000.0,856000.0,861000.0,65000.0
NetIncomeLoss,55492000.0,52515000.0,174444000.0,59091000.0,55492000.0
EarningsPerShareBasic,1.74,0.91,2.65,0.86,0.96
EarningsPerShareDiluted,0.96,3.35,0.97,0.86,3.17
CommonStockDividendsPerShareCashPaid,0.25,0.18,0.25,0.045,0.18
WeightedAverageNumberOfSharesOutstandingBasic,64600000.0,65632000.0,64534000.0,65866000.0,64498000.0
WeightedAverageNumberOfDilutedSharesOutstanding,66223000.0,65932000.0,66131000.0,64977000.0,66065000.0
Revenues,,2392236000.0,,,
RestructuringCharges,,3353000.0,,,0.0
GainLossOnSaleOfBusiness,,6880000.0,,,650000.0
