,2019q2,2018q4,2019q3,2019q1,2019q4
StockholdersEquityNoteStockSplitConversionRatio1,,,,,2.0
NetIncomeLoss,,,,,29173000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,4322000.0
StockIssuedDuringPeriodValueNewIssues,,,,,88937000.0
StockIssuedDuringPeriodValueShareBasedCompensation,,,,,-10000.0
StockRepurchasedAndRetiredDuringPeriodValue,,,,,3790000.0
DividendsPreferredStockCash,,,,,175000.0
AdjustmentsToAdditionalPaidInCapitalEmployeeReceivablesFromSaleOfStock,,,,,72000.0
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationEmployeeStockPurchaseProgramRequisiteServicePeriodRecognition,,,,,0.0
StockholdersEquity,,,,,602435000.0
