,2019q2,2018q4,2019q3,2019q1,2019q4
NetIncomeLoss,29386000.0,29386000.0,45920000.0,45920000.0,39028000.0
DepreciationDepletionAndAmortization,22677000.0,6944000.0,31848000.0,14458000.0,8750000.0
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,-9517000.0,0.0,2052000.0,-9605000.0,63000.0
DeferredIncomeTaxesAndOtherNoncashChanges,-8633000.0,-1622000.0,7336000.0,2885000.0,879000.0
ShareBasedCompensation,3484000.0,1163000.0,5972000.0,2313000.0,1531000.0
PensionPlanActivity,362000.0,309000.0,749000.0,248000.0,215000.0
IncreaseDecreaseInAccountsAndOtherReceivables,6220000.0,10325000.0,748000.0,-1561000.0,10325000.0
IncreaseDecreaseInInventories,11738000.0,11961000.0,-6282000.0,-27000.0,8353000.0
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,303000.0,-2763000.0,3085000.0,-2291000.0,-2763000.0
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,8780000.0,12310000.0,4693000.0,8720000.0,12357000.0
NetCashProvidedByUsedInOperatingActivities,143423000.0,40860000.0,197598000.0,113215000.0,40095000.0
PaymentsToAcquireBusinessesNetOfCashAcquired,318000.0,318000.0,55364000.0,318000.0,
PaymentsToAcquirePropertyPlantAndEquipment,22561000.0,8494000.0,31025000.0,15287000.0,9740000.0
PaymentsForProceedsFromOtherInvestingActivities,592000.0,-8000.0,-91000.0,-11000.0,71000.0
NetCashProvidedByUsedInInvestingActivities,-22915000.0,-8804000.0,-60608000.0,-15594000.0,-9811000.0
PaymentsOfDividendsCommonStock,52244000.0,16495000.0,58980000.0,34370000.0,16495000.0
PaymentsForRepurchaseOfCommonStock,1102000.0,1593000.0,866000.0,1759000.0,1593000.0
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,2209000.0,778000.0,981000.0,284000.0,125000.0
ProceedsFromPaymentsForOtherFinancingActivities,-203000.0,,0.0,-88000.0,-118000.0
NetCashProvidedByUsedInFinancingActivities,-49698000.0,-16036000.0,-60753000.0,-32698000.0,-18866000.0
CashAndCashEquivalentsPeriodIncreaseDecrease,-18363000.0,12183000.0,25024000.0,-11221000.0,-22827000.0
CashAndCashEquivalentsAtCarryingValue,143104000.0,143104000.0,118080000.0,194531000.0,196288000.0
IncomeTaxesPaidNet,25373000.0,229000.0,,19987000.0,229000.0
RestructuringCostsAndAssetImpairmentCharges,,,0.0,,0.0
GainLossOnSaleOfPropertyPlantEquipment,,,629000.0,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,1475000.0,,
