,2019q2,2018q4,2019q3,2019q1,2019q4
OperatingLeasesIncomeStatementMinimumLeaseRevenue,316797000.0,246578000.0,290737000.0,997089000.0,292732000.0
GainLossDueToManagementFees,378000.0,5547000.0,310000.0,7106000.0,308000.0
RealEstateRevenueNet,317175000.0,963120000.0,,1234340000.0,
OperatingCostsAndExpenses,35490000.0,100955000.0,33881000.0,133429000.0,31969000.0
RealEstateTaxExpense,45725000.0,135607000.0,43189000.0,174487000.0,43688000.0
DepreciationAndAmortization,85395000.0,266900000.0,166988000.0,375028000.0,249825000.0
ProvisionForDoubtfulAccounts,2415000.0,1216000.0,3364000.0,9182000.0,3094000.0
ImpairmentOfRealEstateFromContinuingOperations,3112000.0,16372000.0,9298000.0,53295000.0,17468000.0
GeneralAndAdministrativeExpense,22426000.0,64955000.0,50618000.0,92248000.0,75168000.0
OperatingExpenses,188534000.0,204939000.0,373984000.0,801802000.0,562802000.0
OtherInterestAndDividendIncome,147000.0,156000.0,200000.0,365000.0,356000.0
InterestExpense,46666000.0,57410000.0,55200000.0,226671000.0,55364000.0
GainLossOnSaleOfProperties,7602000.0,159043000.0,28262000.0,68847000.0,159043000.0
GainsLossesOnExtinguishmentOfDebt,30000.0,488000.0,-707000.0,-37096000.0,-1620000.0
OtherNonoperatingIncomeExpense,-818000.0,-2591000.0,-1574000.0,-2786000.0,-1975000.0
NonoperatingIncomeExpense,-43812000.0,-28718000.0,-76300000.0,-196305000.0,-23293000.0
IncomeLossAttributableToParent,62900000.0,147346000.0,61022000.0,71579000.0,80362000.0
EarningsPerShareBasic,0.2,0.49,0.27,1.21,0.49
EarningsPerShareDiluted,0.2,0.95,0.26,0.2,0.49
WeightedAverageNumberOfSharesOutstandingBasic,298599000.0,302170000.0,302776000.0,304834000.0,302170000.0
WeightedAverageNumberOfDilutedSharesOutstanding,299029000.0,305176000.0,298893000.0,305060000.0,298879000.0
TenantReimbursements,,204589000.0,,270548000.0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,78793000.0,,295432000.0,
IncomeLossFromEquityMethodInvestments,,0.0,,477000.0,
Gainlossondisposalofinvestmentsinunconsolidatedjointventures,,0.0,,0.0,
ProfitLoss,,147346000.0,68960000.0,366284000.0,147346000.0
NetIncomeLossAttributableToNoncontrollingInterest,,0.0,,76000.0,
DividendsPreferredStock,,0.0,,0.0,
NetIncomeLossAvailableToCommonStockholdersBasic,,83380000.0,,275478000.0,
RevenueFromContractWithCustomerIncludingAssessedTax,,,630205000.0,,936685000.0
