,2019q2,2018q4,2019q3,2019q1,2019q4
StockIssuedDuringPeriodValueShareBasedCompensation,,,2975000.0,,1718000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,31913000.0,,12361000.0
TreasuryStockValueAcquiredCostMethod,,,39913000.0,,
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,-12000.0,,
StockIssuedDuringPeriodValueWarrantsSettlement,,,-4000.0,,-4000.0
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,,,26263000.0,,37000.0
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent,,,-4859000.0,,-180000.0
NetIncomeLoss,,,5969000.0,,-918000.0
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,14000.0,,-3000.0
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,-3875000.0,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,-4369000.0,,-5879000.0
StockholdersEquity,,,310932000.0,,374936000.0
StockRepurchasedDuringPeriodValue,,,,,10005000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,,,,,-677000.0
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToParent,,,,,327000.0
