,2019q2,2018q4,2019q3,2019q1,2019q4
OtherSignificantNoncashTransactionValueOfConsiderationReceived1,0.0,9958000.0,0.0,0.0,0.0
NetIncomeLoss,109636000.0,453689000.0,122743000.0,88429000.0,85905000.0
RealizedGainLossOnDispositionOfAssetsAndInvestments,-52000.0,-693000.0,-64000.0,-49000.0,439000.0
ShareBasedCompensation,82268000.0,157855000.0,121007000.0,40948000.0,157855000.0
ProvisionsForDoubtfulAccountsAndSalesReturns,691000.0,366000.0,1494000.0,593000.0,556000.0
DepreciationDepletionAndAmortization,28246000.0,59491000.0,46645000.0,14001000.0,68507000.0
DeferredIncomeTaxesAndTaxCredits,3606000.0,2967000.0,19241000.0,2714000.0,7440000.0
IncreaseDecreaseInAccountsReceivable,-314000.0,24115000.0,16249000.0,-238000.0,18305000.0
IncreaseDecreaseInInventories,-322000.0,734000.0,1488000.0,991000.0,-4218000.0
IncreaseDecreaseInOtherCurrentAssets,-5493000.0,,54381000.0,-11517000.0,
IncreaseDecreaseInOtherNoncurrentAssets,1111000.0,2056000.0,68000.0,696000.0,22742000.0
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-5308000.0,30524000.0,37932000.0,-8216000.0,30524000.0
IncreaseDecreaseInContractWithCustomerLiability,46235000.0,,79113000.0,66122000.0,
NetCashProvidedByUsedInOperatingActivities,374712000.0,711535000.0,556763000.0,197858000.0,747841000.0
PaymentsToAcquireInvestments,211087000.0,855424000.0,210109000.0,190884000.0,446838000.0
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,351600000.0,439130000.0,507804000.0,151537000.0,390449000.0
ProceedsFromSaleOfAvailableForSaleSecurities,2499000.0,12736000.0,276278000.0,0.0,278244000.0
ProceedsFromSaleOfProductiveAssets,0.0,1000000.0,1000000.0,1000000.0,0.0
PaymentsToAcquirePropertyPlantAndEquipment,16246000.0,63488000.0,83008000.0,21046000.0,103542000.0
NetCashProvidedByUsedInInvestingActivities,-172451000.0,-455987000.0,-227931000.0,-60393000.0,-32212000.0
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,18900000.0,44869000.0,45455000.0,19915000.0,47039000.0
PaymentsForRepurchaseOfCommonStock,300046000.0,700124000.0,450064000.0,101032000.0,600081000.0
NetCashProvidedByUsedInFinancingActivities,-182145000.0,-551263000.0,-401246000.0,-82132000.0,-551263000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,302221000.0,,265580000.0,55333000.0,177760000.0
EffectOfExchangeRateOnCashAndCashEquivalents,-265000.0,-2339000.0,-1588000.0,46000.0,-3307000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,425894000.0,,691363000.0,674452000.0,425894000.0
CashAndCashEquivalentsAtCarryingValue,424707000.0,390460000.0,688350000.0,480121000.0,
IncreaseDecreaseInOtherOperatingAssets,,1876000.0,,,14890000.0
IncreaseDecreaseInDeferredRevenue,,94064000.0,,,94064000.0
IncreaseDecreaseInRestrictedCash,,-36000.0,,,
PaymentsToAcquireIntangibleAssets,,4750000.0,,,0.0
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,2608000.0,,,0.0
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,-246182000.0,,,
IncomeTaxesPaidNet,,162944000.0,,,104878000.0
PaymentsToAcquireBusinessesNetOfCashAcquired,,,611550000.0,,611550000.0
CapitalizedComputerSoftwareImpairments1,,,,,6273000.0
BusinessExitCosts1,,,,,0.0
