,2019q2,2018q4,2019q3,2019q1,2019q4
Revenues,1066000.0,,4262000.0,,5346000.0
ResearchAndDevelopmentExpense,8850000.0,,18943000.0,,28490000.0
GeneralAndAdministrativeExpense,3106000.0,,5973000.0,,7596000.0
Depreciation,184000.0,,376000.0,,196000.0
CostsAndExpensesBeforeOther,14705000.0,,28868000.0,,40849000.0
GainOnBusinessInterruptionInsuranceRecovery,363000.0,,20000.0,,0.0
OperatingIncomeLoss,-13260000.0,,-3517000.0,,-9976000.0
OtherNonoperatingIncomeExpense,304000.0,,517000.0,,844000.0
ComprehensiveIncomeNetOfTax,-10155000.0,,-12956000.0,,-12015000.0
EarningsPerShareBasicAndDiluted,-0.08,,,,-0.07
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,145964000.0,,,,149767000.0
EarningsPerShareBasic,,,-0.02,,
WeightedAverageNumberOfSharesOutstandingBasic,,,138225000.0,,
EarningsPerShareDiluted,,,0.05,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,150163000.0,,
